,block,cluster_labels
0,42,2.0
1,60,0.0
2,61,2.0
3,62,0.0
4,63,0.0
5,64,0.0
6,65,0.0
7,66,0.0
8,67,0.0
9,68,2.0
10,69,0.0
11,70,2.0
12,89,2.0
13,90,0.0
14,91,2.0
15,92,2.0
16,93,0.0
17,94,0.0
18,95,0.0
19,96,0.0
20,97,0.0
21,98,0.0
22,99,2.0
23,100,2.0
24,101,0.0
25,102,2.0
26,103,2.0
27,122,2.0
28,123,2.0
29,124,0.0
30,125,2.0
31,126,2.0
32,127,0.0
33,128,0.0
34,129,2.0
35,130,0.0
36,131,0.0
37,132,0.0
38,133,2.0
39,134,2.0
40,135,2.0
41,136,2.0
42,157,0.0
43,158,0.0
44,159,2.0
45,160,2.0
46,161,2.0
47,162,2.0
48,163,2.0
49,164,0.0
50,165,0.0
51,166,2.0
52,167,0.0
53,168,0.0
54,169,2.0
55,170,2.0
56,171,0.0
57,172,2.0
58,185,2.0
59,186,0.0
60,187,0.0
61,188,2.0
62,194,2.0
63,195,0.0
64,196,2.0
65,197,2.0
66,198,2.0
67,199,0.0
68,200,0.0
69,201,2.0
70,202,0.0
71,203,0.0
72,204,2.0
73,205,2.0
74,206,0.0
75,207,0.0
76,208,0.0
77,209,0.0
78,210,2.0
79,222,2.0
80,223,2.0
81,224,0.0
82,225,0.0
83,226,0.0
84,227,0.0
85,233,2.0
86,234,0.0
87,235,0.0
88,236,0.0
89,237,0.0
90,238,0.0
91,239,0.0
92,240,0.0
93,241,2.0
94,242,0.0
95,243,0.0
96,244,0.0
97,245,2.0
98,246,0.0
99,247,0.0
100,248,0.0
101,249,2.0
102,250,2.0
103,260,2.0
104,261,2.0
105,262,0.0
106,263,0.0
107,264,0.0
108,265,0.0
109,266,0.0
110,267,2.0
111,273,2.0
112,274,2.0
113,275,0.0
114,276,0.0
115,277,0.0
116,278,2.0
117,279,0.0
118,280,0.0
119,281,0.0
120,282,0.0
121,283,0.0
122,284,0.0
123,285,2.0
124,286,0.0
125,287,2.0
126,288,0.0
127,289,2.0
128,290,2.0
129,300,2.0
130,301,0.0
131,302,0.0
132,303,0.0
133,304,0.0
134,305,0.0
135,306,0.0
136,307,2.0
137,308,2.0
138,314,2.0
139,315,2.0
140,316,0.0
141,317,0.0
142,318,0.0
143,319,0.0
144,320,0.0
145,321,0.0
146,322,0.0
147,323,0.0
148,324,2.0
149,325,0.0
150,326,2.0
151,327,0.0
152,328,2.0
153,329,2.0
154,330,2.0
155,331,2.0
156,340,0.0
157,341,0.0
158,342,0.0
159,343,0.0
160,344,0.0
161,345,0.0
162,346,0.0
163,347,0.0
164,348,0.0
165,349,2.0
166,356,2.0
167,357,0.0
168,358,2.0
169,359,0.0
170,360,0.0
171,361,0.0
172,362,0.0
173,363,0.0
174,364,0.0
175,365,0.0
176,366,0.0
177,367,0.0
178,368,0.0
179,369,0.0
180,370,2.0
181,371,2.0
182,372,2.0
183,373,2.0
184,374,2.0
185,380,2.0
186,381,2.0
187,382,0.0
188,383,0.0
189,384,0.0
190,385,0.0
191,386,0.0
192,387,0.0
193,388,0.0
194,389,2.0
195,390,0.0
196,391,2.0
197,392,2.0
198,400,0.0
199,401,0.0
200,402,0.0
201,403,0.0
202,404,2.0
203,405,2.0
204,406,2.0
205,407,0.0
206,408,0.0
207,409,0.0
208,410,2.0
209,411,2.0
210,412,0.0
211,413,0.0
212,414,2.0
213,419,2.0
214,420,0.0
215,421,0.0
216,422,0.0
217,423,0.0
218,424,0.0
219,425,2.0
220,426,0.0
221,427,0.0
222,428,2.0
223,429,0.0
224,430,0.0
225,431,0.0
226,432,2.0
227,433,2.0
228,441,0.0
229,442,0.0
230,443,0.0
231,444,2.0
232,445,2.0
233,446,2.0
234,447,0.0
235,448,0.0
236,449,2.0
237,450,2.0
238,451,2.0
239,452,0.0
241,454,2.0
242,458,2.0
243,459,0.0
244,460,0.0
245,461,0.0
246,462,0.0
247,463,0.0
248,464,2.0
249,465,2.0
250,466,2.0
251,467,0.0
252,468,2.0
253,469,0.0
254,470,0.0
255,471,0.0
256,472,0.0
257,473,2.0
258,482,0.0
259,483,0.0
260,484,0.0
261,485,0.0
262,486,2.0
263,487,0.0
264,488,0.0
265,489,0.0
266,490,0.0
267,491,0.0
268,492,2.0
269,493,2.0
270,494,2.0
271,495,2.0
272,498,2.0
273,499,0.0
274,500,0.0
275,501,0.0
276,502,0.0
277,503,0.0
278,504,0.0
279,505,2.0
280,506,0.0
281,507,2.0
282,508,0.0
283,509,0.0
284,510,0.0
285,511,2.0
286,512,0.0
287,513,0.0
288,514,2.0
289,515,2.0
290,524,0.0
291,525,0.0
292,526,2.0
293,527,2.0
294,528,2.0
295,529,2.0
296,530,0.0
297,531,2.0
298,532,2.0
299,533,2.0
300,534,2.0
301,535,0.0
302,536,0.0
303,537,2.0
304,539,2.0
305,540,2.0
306,541,0.0
307,542,0.0
308,543,0.0
309,544,1.0
310,545,0.0
311,546,0.0
312,547,2.0
313,548,2.0
314,549,2.0
315,550,0.0
316,551,2.0
317,552,0.0
318,553,0.0
319,554,0.0
320,555,0.0
321,556,0.0
322,557,2.0
323,567,2.0
324,568,0.0
325,569,2.0
326,570,2.0
327,571,0.0
328,572,2.0
329,573,0.0
330,574,2.0
331,575,2.0
332,576,2.0
333,577,2.0
334,578,2.0
335,579,2.0
336,582,0.0
337,583,0.0
338,584,0.0
339,585,0.0
340,586,0.0
341,587,0.0
342,588,0.0
343,589,0.0
344,590,0.0
345,591,0.0
346,592,0.0
347,593,0.0
348,594,0.0
349,595,0.0
350,596,2.0
351,597,2.0
352,598,0.0
353,599,0.0
354,600,2.0
355,612,2.0
356,613,0.0
357,614,2.0
358,615,0.0
359,616,2.0
360,617,0.0
361,618,0.0
362,619,2.0
363,620,2.0
364,621,0.0
365,622,2.0
366,623,0.0
367,626,0.0
368,627,0.0
369,628,0.0
370,629,0.0
371,630,0.0
372,631,0.0
373,632,0.0
374,633,0.0
375,634,0.0
376,635,0.0
377,636,0.0
378,637,0.0
379,638,0.0
380,639,0.0
381,640,0.0
382,641,0.0
383,642,0.0
384,643,0.0
385,644,0.0
386,645,2.0
387,657,0.0
388,658,0.0
389,659,2.0
390,660,2.0
391,661,2.0
392,662,0.0
393,663,2.0
394,664,0.0
395,665,0.0
396,666,0.0
397,671,0.0
398,672,0.0
399,673,0.0
400,674,0.0
401,675,0.0
402,676,0.0
403,677,0.0
404,678,0.0
405,679,0.0
406,680,0.0
407,681,0.0
408,682,0.0
409,683,0.0
410,684,0.0
411,685,0.0
412,686,2.0
413,687,0.0
414,688,0.0
415,689,0.0
416,690,2.0
417,703,2.0
418,704,0.0
419,705,0.0
420,706,2.0
421,707,0.0
422,708,0.0
423,709,2.0
424,710,2.0
425,711,0.0
426,712,0.0
427,713,2.0
428,717,2.0
429,718,0.0
430,719,2.0
431,720,0.0
432,721,0.0
433,722,0.0
434,723,0.0
435,724,0.0
436,725,0.0
437,726,0.0
438,727,0.0
439,728,0.0
440,729,0.0
441,730,0.0
442,731,0.0
443,732,0.0
444,733,0.0
445,734,0.0
446,735,2.0
447,736,2.0
448,750,2.0
449,751,2.0
450,752,2.0
451,753,2.0
452,754,2.0
453,755,0.0
454,756,2.0
455,757,2.0
456,758,0.0
457,759,2.0
458,760,2.0
459,761,2.0
460,765,2.0
461,766,0.0
462,767,0.0
463,768,0.0
464,769,0.0
465,770,0.0
466,771,0.0
467,772,0.0
468,773,0.0
469,774,0.0
470,775,0.0
471,776,0.0
472,777,0.0
473,778,0.0
474,779,0.0
475,780,0.0
476,781,0.0
477,782,0.0
478,783,2.0
479,799,2.0
480,800,2.0
481,801,0.0
482,802,2.0
483,803,2.0
484,804,2.0
485,805,0.0
486,806,2.0
487,807,0.0
488,808,2.0
489,814,2.0
490,815,0.0
491,816,0.0
492,817,0.0
493,818,0.0
494,819,0.0
495,820,0.0
496,821,0.0
497,822,0.0
498,823,0.0
499,824,0.0
500,825,0.0
501,826,0.0
502,827,0.0
503,828,0.0
504,829,0.0
505,830,0.0
